date,Mainstream,Alternative,State-controlled,Social platform,Institutional,Archive / file host,Unclassified,total_posts
2026_07_22,7.8%,1.0%,3.4%,41.2%,9.2%,11.2%,26.2%,8223
2026_07_23,8.6%,0.9%,2.4%,44.2%,10.4%,9.5%,23.9%,13430
2026_07_24,6.8%,1.5%,3.1%,47.4%,9.4%,10.7%,21.0%,14650
2026_07_25,3.6%,0.7%,2.6%,52.1%,11.6%,11.2%,18.2%,8768
2026_07_26,10.4%,4.0%,4.5%,43.3%,6.0%,9.5%,22.4%,5107
2026_07_27,8.8%,2.1%,2.9%,44.4%,7.8%,11.9%,22.0%,12951
2026_07_29,8.7%,3.0%,2.7%,45.2%,10.5%,6.6%,23.2%,11220
2026_07_31,10.1%,3.9%,2.4%,41.5%,10.1%,7.7%,24.3%,11165
2026_08_04,4.8%,3.9%,4.5%,50.6%,8.1%,7.3%,20.8%,11847
2026_08_05,5.0%,1.2%,3.1%,46.9%,8.1%,14.4%,21.2%,9314
2026_08_06,11.5%,2.0%,3.0%,48.9%,8.2%,6.2%,20.2%,9983
2026_08_07,6.8%,1.5%,0.7%,53.7%,9.0%,10.1%,18.1%,9626
2026_08_08,5.6%,0.3%,0.6%,42.1%,6.5%,12.4%,32.5%,9846
2026_08_11,12.8%,2.0%,3.4%,40.5%,6.8%,11.7%,22.8%,10872
2026_08_13,7.2%,1.5%,3.0%,48.1%,7.0%,11.0%,22.2%,10353
2026_08_14,10.1%,1.3%,3.8%,37.2%,6.6%,14.4%,26.7%,18035
2026_08_15,4.2%,2.5%,2.5%,48.6%,6.7%,13.2%,22.2%,10084
2026_08_16,6.8%,1.9%,2.3%,37.8%,9.0%,13.7%,28.4%,20755
2026_08_17,10.3%,2.2%,3.0%,39.5%,6.4%,11.8%,26.9%,18091
2026_08_18,7.9%,2.6%,2.1%,42.3%,12.7%,11.6%,20.6%,11258
2026_08_31,8.8%,1.3%,1.6%,41.9%,13.4%,10.3%,22.7%,10912
2026_09_02,10.3%,1.3%,3.5%,39.9%,11.3%,9.6%,24.1%,9778
2026_09_03,9.8%,1.6%,2.1%,40.1%,12.5%,10.6%,23.3%,10578
2026_09_04,9.2%,1.9%,1.9%,42.8%,7.7%,10.6%,25.9%,14617
